model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,fit_time_mean_sec
ExtraTrees,0.7054418372441338,0.008886109020983338,0.3739260621098571,0.008006565389397905,0.6920530362136244,0.006434992584406764,15.67317042350769
SoftVoting_RF_ET,0.7118322516225661,0.007762672681208897,0.34848718430784514,0.005699175456731388,0.6854037242367046,0.005956220898033642,55.43857488632202
RandomForest,0.7128307538691961,0.009331589809250966,0.3335981247724715,0.008831727494150576,0.6800176753420246,0.008333294978548272,40.7808424949646
LogisticRegression,0.5657513729405891,0.007946723015904773,0.4384896587921824,0.02751912944832117,0.6083143145697096,0.006686070444056796,817.0205931663513
